No,Company,Ticker Symbol,Class
268,Oneok Inc,OKE,Stock
269,Keurig Dr Pepper Inc,KDP,Stock
270,Hp Inc,HPQ,Stock
271,Xylem Inc,XYL,Stock
272,Global Payments Inc,GPN,Stock
273,Avalonbay Communities Inc,AVB,Stock
274,Albemarle Corp,ALB,Stock
275,Quanta Services Inc,PWR,Stock
276,Martin Marietta Materials,MLM,Stock
277,West Pharmaceutical Services,WST,Stock
278,Edison International,EIX,Stock
279,Ingersoll Rand Inc,IR,Stock
280,Arch Capital Group Ltd,ACGL,Stock
281,State Street Corp,STT,Stock
282,Corning Inc,GLW,Stock
283,T Rowe Price Group Inc,TROW,Stock
284,Sba Communications Corp,SBAC,Stock
285,Cbre Group Inc A,CBRE,Stock
286,Fortive Corp,FTV,Stock
287,Ebay Inc,EBAY,Stock
288,Willis Towers Watson Plc,WTW,Stock
289,Enphase Energy Inc,ENPH,Stock
290,Eversource Energy,ES,Stock
291,Tractor Supply Company,TSCO,Stock
292,Monolithic Power Systems Inc,MPWR,Stock
293,Cdw Corp/de,CDW,Stock
294,Align Technology Inc,ALGN,Stock
295,Diamondback Energy Inc,FANG,Stock
296,Church & Dwight Co Inc,CHD,Stock
297,Lyondellbasell Indu Cl A,LYB,Stock
298,Mccormick & Co Non Vtg Shrs,MKC,Stock
299,Ulta Beauty Inc,ULTA,Stock
300,Equity Residential,EQR,Stock
301,Walgreens Boots Alliance Inc,WBA,Stock
302,Weyerhaeuser Co,WY,Stock
303,Hartford Financial Svcs Grp,HIG,Stock
304,Genuine Parts Co,GPC,Stock
305,Cardinal Health Inc,CAH,Stock
306,Baxter International Inc,BAX,Stock
307,Dte Energy Company,DTE,Stock
308,Take Two Interactive Softwre,TTWO,Stock
309,Hewlett Packard Enterprise,HPE,Stock
310,Ameren Corporation,AEE,Stock
311,Steris Plc,STE,Stock
312,Firstenergy Corp,FE,Stock
313,Royal Caribbean Cruises Ltd,RCL,Stock
314,M & T Bank Corp,MTB,Stock
315,Entergy Corp,ETR,Stock
316,Darden Restaurants Inc,DRI,Stock
317,Dover Corp,DOV,Stock
318,Verisign Inc,VRSN,Stock
319,Laboratory Crp of Amer Hldgs,LH,Stock
320,Fair Isaac Corp,FICO,Stock
321,Intl Flavors & Fragrances,IFF,Stock
322,Southwest Airlines Co,LUV,Stock
323,Insulet Corp,PODD,Stock
324,Ppl Corp,PPL,Stock
325,Invitation Homes Inc,INVH,Stock
326,Las Vegas Sands Corp,LVS,Stock
327,Hologic Inc,HOLX,Stock
328,Omnicom Group,OMC,Stock
329,Alexandria Real Estate Equit,ARE,Stock
330,Extra Space Storage Inc,EXR,Stock
331,Coterra Energy Inc,CTRA,Stock
332,First Solar Inc,FSLR,Stock
333,Clorox Company,CLX,Stock
334,Raymond James Financial Inc,RJF,Stock
335,Expeditors Intl Wash Inc,EXPD,Stock
336,Teledyne Technologies Inc,TDY,Stock
337,Ventas Inc,VTR,Stock
338,Broadridge Financial Solutio,BR,Stock
339,Wabtec Corp,WAB,Stock
340,Centerpoint Energy Inc,CNP,Stock
341,Cooper Cos Inc,COO,Stock
342,Fifth Third Bancorp,FITB,Stock
343,Nvr Inc,NVR,Stock
344,Mid America Apartment Comm,MAA,Stock
345,Fleetcor Technologies Inc,FLT,Stock
346,Cms Energy Corp,CMS,Stock
347,Skyworks Solutions Inc,SWKS,Stock
348,United Airlines Holdings Inc,UAL,Stock
349,Steel Dynamics Inc,STLD,Stock
350,Teradyne Inc,TER,Stock
351,Nasdaq Inc,NDAQ,Stock
352,Ball Corp,BALL,Stock
353,Kellogg Co,K,Stock
354,Regions Financial Corp,RF,Stock
355,Howmet Aerospace Inc,HWM,Stock
356,Atmos Energy Corp,ATO,Stock
357,Conagra Brands Inc,CAG,Stock
358,Pultegroup Inc,PHM,Stock
359,Iron Mountain Inc,IRM,Stock
360,Principal Financial Group,PFG,Stock
361,Lamb Weston Holdings Inc,LW,Stock
362,Garmin Ltd,GRMN,Stock
363,Tyler Technologies Inc,TYL,Stock
364,Jm Smucker Co,SJM,Stock
365,Expedia Group Inc,EXPE,Stock
366,Targa Resources Corp,TRGP,Stock
367,Molina Healthcare Inc,MOH,Stock
368,Netapp Inc,NTAP,Stock
369,Factset Research Systems Inc,FDS,Stock
370,Cincinnati Financial Corp,CINF,Stock
371,Carnival Corp,CCL,Stock
372,Waters Corp,WAT,Stock
373,Interpublic Group of Cos Inc,IPG,Stock
374,Idex Corp,IEX,Stock
375,Paycom Software Inc,PAYC,Stock
376,Northern Trust Corp,NTRS,Stock
377,Huntington Bancshares Inc,HBAN,Stock
378,Amcor Plc,AMCR,Stock
379,Brown & Brown Inc,BRO,Stock
380,Solaredge Technologies Inc,SEDG,Stock
381,Quest Diagnostics Inc,DGX,Stock
382,Best Buy Co Inc,BBY,Stock
383,Ptc Inc,PTC,Stock
384,Essex Property Trust Inc,ESS,Stock
385,Jacobs Solutions Inc,J,Stock
386,Synchrony Financial,SYF,Stock
387,Cboe Global Markets Inc,CBOE,Stock
388,Revvity Inc,RVTY,Stock
389,Akamai Technologies Inc,AKAM,Stock
390,Marathon Oil Corp,MRO,Stock
391,Snap on Inc,SNA,Stock
392,Hunt (Jb) Transprt Svcs Inc,JBHT,Stock
393,Zebra Technologies Corp Cl A,ZBRA,Stock
394,Bunge Ltd,BG,Stock
395,Tyson Foods Inc Cl A,TSN,Stock
396,Eqt Corp,EQT,Stock
397,Mgm Resorts International,MGM,Stock
398,Aes Corp,AES,Stock
399,Lkq Corp,LKQ,Stock
400,Textron Inc,TXT,Stock
401,Avery Dennison Corp,AVY,Stock
402,Evergy Inc,EVRG,Stock
403,Pool Corp,POOL,Stock
404,Everest Re Group Ltd,RE,Stock
405,Axon Enterprise Inc,AXON,Stock
406,Alliant Energy Corp,LNT,Stock
407,Cf Industries Holdings Inc,CF,Stock
408,Citizens Financial Group,CFG,Stock
409,Udr Inc,UDR,Stock
410,Fmc Corp,FMC,Stock
411,Stanley Black & Decker Inc,SWK,Stock
412,Western Digital Corp,WDC,Stock
413,Trimble Inc,TRMB,Stock
414,Carmax Inc,KMX,Stock
415,Epam Systems Inc,EPAM,Stock
416,Seagate Technology Holdings,STX,Stock
417,Molson Coors Beverage Co B,TAP,Stock
418,Nordson Corp,NDSN,Stock
419,Host Hotels & Resorts Inc,HST,Stock
420,Masco Corp,MAS,Stock
421,Match Group Inc,MTCH,Stock
422,Camden Property Trust,CPT,Stock
423,Live Nation Entertainment In,LYV,Stock
424,Packaging Corp of America,PKG,Stock
425,Etsy Inc,ETSY,Stock
426,Mosaic Co,MOS,Stock
427,Hormel Foods Corp,HRL,Stock
428,Viatris Inc,VTRS,Stock
429,Bio Techne Corp,TECH,Stock
430,Kimco Realty Corp,KIM,Stock
431,Jack Henry & Associates Inc,JKHY,Stock
432,Brown Forman Corp Class B,BF.B,Stock
433,Celanese Corp,CE,Stock
434,Wr Berkley Corp,WRB,Stock
435,Teleflex Inc,TFX,Stock
436,International Paper Co,IP,Stock
437,Incyte Corp,INCY,Stock
438,Borgwarner Inc,BWA,Stock
439,Healthpeak Properties Inc,PEAK,Stock
440,Loews Corp,L,Stock
441,Leidos Holdings Inc,LDOS,Stock
442,C.H. Robinson Worldwide Inc,CHRW,Stock
443,Apa Corp,APA,Stock
444,Nisource Inc,NI,Stock
445,Domino S Pizza Inc,DPZ,Stock
446,Wynn Resorts Ltd,WYNN,Stock
